timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675203226.0,183.0,28.0,24.0,70.0,173.0,31.0
1717675203421.0,268.0,131.0,41.0,110.0,223.0,33.0
1717675203425.0,254.0,126.0,39.0,128.0,211.0,31.0
1717675203425.0,248.0,123.0,38.0,127.0,207.0,31.0
1717675203542.0,339.0,242.0,47.0,84.0,163.0,23.0
1717675203591.0,350.0,207.0,39.0,115.0,214.0,24.0
1717675203624.0,311.0,207.0,36.0,103.0,192.0,21.0
1717675203709.0,243.0,328.0,29.0,105.0,204.0,17.0
1717675203814.0,171.0,255.0,31.0,109.0,280.0,65.0
1717675203830.0,194.0,252.0,30.0,106.0,273.0,63.0
1717675203848.0,276.0,236.0,28.0,112.0,254.0,59.0
1717675203866.0,259.0,223.0,27.0,105.0,240.0,56.0
1717675203932.0,241.0,194.0,36.0,155.0,207.0,48.0
1717675203937.0,377.0,177.0,33.0,140.0,263.0,44.0
1717675203981.0,327.0,161.0,30.0,124.0,235.0,39.0
1717675204008.0,480.0,214.0,35.0,112.0,211.0,35.0
1717675204100.0,371.0,173.0,54.0,129.0,175.0,52.0
1717675204251.0,423.0,208.0,45.0,154.0,226.0,28.0
1717675204413.0,405.0,195.0,39.0,115.0,211.0,56.0
1717675204435.0,420.0,192.0,38.0,113.0,209.0,56.0
1717675204436.0,425.0,191.0,39.0,113.0,207.0,55.0
1717675204498.0,319.0,175.0,101.0,172.0,228.0,43.0
1717675204592.0,249.0,211.0,78.0,132.0,181.0,36.0
1717675204683.0,259.0,178.0,80.0,197.0,194.0,46.0
1717675204844.0,280.0,219.0,49.0,120.0,263.0,65.0
1717675204880.0,408.0,361.0,73.0,110.0,236.0,60.0
1717675204961.0,361.0,294.0,56.0,103.0,184.0,46.0
1717675204977.0,323.0,268.0,56.0,103.0,168.0,42.0
1717675205240.0,326.0,225.0,86.0,126.0,222.0,63.0
1717675205320.0,265.0,316.0,99.0,166.0,199.0,51.0
1717675205321.0,246.0,287.0,113.0,152.0,185.0,49.0
1717675205396.0,391.0,254.0,91.0,128.0,223.0,39.0
1717675205455.0,451.0,245.0,74.0,103.0,208.0,32.0
1717675205616.0,263.0,260.0,52.0,92.0,199.0,35.0
1717675205636.0,252.0,322.0,51.0,84.0,180.0,31.0
1717675205713.0,203.0,249.0,39.0,68.0,255.0,44.0
1717675205732.0,345.0,384.0,51.0,65.0,241.0,41.0
1717675205783.0,288.0,319.0,43.0,57.0,207.0,54.0
1717675205802.0,315.0,455.0,73.0,67.0,188.0,48.0
1717675205826.0,412.0,423.0,73.0,90.0,179.0,45.0
1717675205868.0,330.0,344.0,60.0,74.0,212.0,39.0
1717675205884.0,326.0,340.0,60.0,73.0,210.0,38.0
1717675205924.0,460.0,291.0,54.0,135.0,179.0,31.0
1717675206009.0,342.0,230.0,95.0,103.0,143.0,25.0
