timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675297861.0,5.0,0.0,0.0,96.0,34.0,0.0
1717675297957.0,4.0,0.0,18.0,224.0,56.0,22.0
1717675297972.0,5.0,0.0,17.0,207.0,105.0,20.0
1717675297990.0,4.0,0.0,20.0,280.0,112.0,19.0
1717675298023.0,6.0,0.0,56.0,411.0,102.0,17.0
1717675298059.0,13.0,0.0,48.0,387.0,163.0,14.0
1717675298083.0,36.0,0.0,67.0,432.0,155.0,14.0
1717675298083.0,35.0,7.0,66.0,474.0,158.0,14.0
1717675298164.0,54.0,7.0,111.0,657.0,271.0,20.0
1717675298192.0,50.0,9.0,108.0,696.0,275.0,18.0
1717675298387.0,32.0,14.0,103.0,787.0,199.0,12.0
1717675298390.0,31.0,13.0,99.0,732.0,233.0,12.0
1717675298439.0,26.0,11.0,84.0,563.0,198.0,9.0
1717675298529.0,22.0,9.0,67.0,517.0,174.0,12.0
1717675298547.0,24.0,10.0,65.0,546.0,171.0,12.0
1717675298588.0,24.0,11.0,108.0,512.0,202.0,11.0
1717675298624.0,25.0,22.0,120.0,516.0,172.0,9.0
1717675298825.0,23.0,21.0,92.0,384.0,140.0,10.0
1717675298825.0,23.0,20.0,91.0,384.0,139.0,10.0
1717675298864.0,26.0,17.0,84.0,395.0,122.0,9.0
1717675298911.0,21.0,21.0,99.0,527.0,319.0,12.0
1717675298947.0,19.0,18.0,89.0,526.0,283.0,20.0
1717675298965.0,18.0,17.0,87.0,499.0,272.0,19.0
1717675298992.0,51.0,15.0,129.0,536.0,254.0,19.0
1717675298992.0,49.0,15.0,167.0,504.0,243.0,18.0
1717675299065.0,39.0,12.0,135.0,518.0,220.0,14.0
1717675299250.0,45.0,27.0,132.0,615.0,204.0,35.0
1717675299293.0,47.0,22.0,175.0,598.0,245.0,31.0
1717675299356.0,39.0,18.0,146.0,620.0,327.0,25.0
1717675299415.0,31.0,20.0,120.0,530.0,279.0,20.0
1717675299456.0,30.0,18.0,110.0,464.0,252.0,19.0
1717675299458.0,30.0,18.0,108.0,457.0,249.0,18.0
1717675299490.0,27.0,16.0,127.0,407.0,227.0,16.0
1717675299538.0,24.0,14.0,110.0,344.0,234.0,14.0
1717675299538.0,24.0,14.0,110.0,417.0,232.0,14.0
1717675299555.0,24.0,14.0,144.0,513.0,258.0,13.0
1717675299632.0,19.0,33.0,114.0,415.0,195.0,9.0
1717675299674.0,17.0,29.0,101.0,537.0,262.0,12.0
1717675299775.0,17.0,22.0,79.0,460.0,219.0,7.0
1717675299797.0,16.0,20.0,73.0,404.0,199.0,7.0
1717675299901.0,15.0,14.0,109.0,304.0,157.0,4.0
1717675299923.0,15.0,13.0,120.0,369.0,153.0,14.0
1717675300011.0,36.0,17.0,92.0,484.0,231.0,11.0
1717675300078.0,31.0,15.0,79.0,448.0,199.0,7.0
1717675300302.0,46.0,7.0,138.0,591.0,115.0,12.0
1717675300318.0,41.0,19.0,127.0,511.0,110.0,10.0
1717675300398.0,33.0,19.0,105.0,559.0,291.0,7.0
1717675300457.0,31.0,29.0,155.0,537.0,229.0,6.0
1717675300495.0,27.0,25.0,135.0,445.0,210.0,5.0
1717675300563.0,25.0,28.0,123.0,463.0,179.0,4.0
1717675300646.0,24.0,33.0,189.0,600.0,202.0,6.0
1717675300737.0,19.0,47.0,177.0,483.0,216.0,7.0
1717675300883.0,22.0,27.0,222.0,422.0,214.0,23.0
1717675300899.0,29.0,34.0,216.0,484.0,207.0,22.0
1717675300960.0,24.0,38.0,187.0,560.0,231.0,19.0
1717675300976.0,22.0,34.0,172.0,487.0,211.0,17.0
1717675301061.0,31.0,25.0,135.0,674.0,228.0,18.0
1717675301119.0,31.0,20.0,115.0,555.0,188.0,15.0
1717675301239.0,44.0,15.0,107.0,443.0,187.0,9.0
1717675301274.0,38.0,15.0,137.0,477.0,190.0,7.0
1717675301441.0,31.0,12.0,112.0,510.0,207.0,14.0
1717675301477.0,27.0,11.0,143.0,487.0,181.0,12.0
1717675301542.0,22.0,12.0,123.0,588.0,165.0,11.0
